epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.26583,0.84471,3.0246,1.07358,0.00333,1,0.81137,0.5641,0.80181,2.96311,1.02261,0.0001,0.0001,0.0001
2,4.95949,0.66171,2.15428,0.9992,1,0.86471,0.995,0.83861,0.63702,2.49265,0.96947,0.000217822,0.000217822,0.000217822
3,6.40311,0.605,1.24054,0.95006,1,0.43763,0.99397,0.81402,0.62854,2.56438,0.95319,0.000333268,0.000333268,0.000333268
4,7.76263,0.56072,1.24794,0.92178,1,0.63674,0.995,0.84744,0.60392,2.54465,0.92928,0.000446338,0.000446338,0.000446338
5,9.13055,0.61832,1.17106,0.97581,1,0.9346,0.995,0.86853,0.57058,2.40563,0.93895,0.000557032,0.000557032,0.000557032
6,10.4347,0.64327,1.12028,0.99289,1,0.84502,0.995,0.8329,0.61021,2.30112,0.93404,0.00066535,0.00066535,0.00066535
7,11.778,0.58576,1.00735,0.96822,1,0.45801,0.97818,0.84595,0.5676,2.5919,0.93114,0.000771292,0.000771292,0.000771292
8,13.3014,0.60726,1.04194,0.95368,0.9919,0.82143,0.97148,0.83036,0.60853,2.43511,0.93994,0.000874858,0.000874858,0.000874858
9,18.2171,0.62692,0.95534,0.96558,0.99012,1,0.995,0.82662,0.69559,1.89352,0.96616,0.000976048,0.000976048,0.000976048
10,22.8906,0.55808,0.91985,0.92721,1,0.99644,0.995,0.87538,0.58887,1.48923,0.91833,0.00107486,0.00107486,0.00107486
11,27.7746,0.62048,0.95611,0.96708,0.99722,1,0.995,0.8695,0.61624,1.47538,0.95845,0.0011713,0.0011713,0.0011713
12,32.5389,0.62469,0.91103,0.95092,0.99521,1,0.995,0.85658,0.63903,1.37604,0.95878,0.00126536,0.00126536,0.00126536
